Year,State,Region,Percentage
2014,Connecticut,Northeast,8.0
2014,Delaware,South,9.8
2014,District of Columbia,South,9.2
2014,Florida,South,9.4
2014,Georgia,South,11.0
2014,Hawaii,West,8.9
2014,Idaho,West,7.1
2014,Illinois,Midwest,9.4
2014,Indiana,Midwest,9.8
2014,Iowa,Midwest,8.4
2014,Kansas,Midwest,9.5
2014,Kentucky,South,11.4
2014,Louisiana,South,10.4
2014,Maine,Northeast,7.8
2014,Maryland,South,9.2
2014,Massachusetts,Northeast,8.8
2014,Michigan,Midwest,9.0
2014,Minnesota,Midwest,7.5
2014,Mississippi,South,11.9
2014,Missouri,Midwest,10.0
2014,Montana,West,7.6
2014,Nebraska,Midwest,8.4
2014,Nevada,West,8.9
2014,New Hampshire,Northeast,7.9
2014,New Jersey,Northeast,8.7
2014,New Mexico,West,10.4
2014,New York,Northeast,9.2
2014,North Carolina,South,9.9
2014,North Dakota,Midwest,8.0
2014,Ohio,Midwest,10.3
2014,Oklahoma,South,10.9
2014,Oregon,West,8.0
2014,Pennsylvania,Northeast,9.6
2014,Rhode Island,Northeast,8.3
2014,South Carolina,South,10.7
2014,South Dakota,Midwest,8.2
2014,Tennessee,South,11.7
2014,Texas,South,10.8
2014,Utah,West,7.7
2014,Vermont,Northeast,7.0
2014,Virginia,South,9.0
2014,Washington,West,8.2
2014,West Virginia,South,12.0
2014,Wisconsin,Midwest,8.0
2014,Wyoming,West,7.8
2015,Alabama,South,12.0
2015,Alaska,West,7.8
2015,Arizona,West,9.1
2015,Arkansas,South,11.2
2015,California,West,9.6
2015,Colorado,West,6.4
2015,Connecticut,Northeast,8.1
2015,Delaware,South,9.9
2015,District of Columbia,South,9.3
2015,Florida,South,9.3
2015,Georgia,South,10.7
2015,Hawaii,West,7.8
2015,Idaho,West,7.3
2015,Illinois,Midwest,9.1
2015,Indiana,Midwest,10.5
2015,Iowa,Midwest,7.7
2015,Kansas,Midwest,8.9
2015,Kentucky,South,12.1
2015,Louisiana,South,11.8
2015,Maine,Northeast,8.2
2015,Maryland,South,9.4
2015,Massachusetts,Northeast,8.0
2015,Michigan,Midwest,9.5
2015,Minnesota,Midwest,6.9
2015,Mississippi,South,13.6
2015,Missouri,Midwest,10.2
2015,Montana,West,6.7
2015,Nebraska,Midwest,8.0
2015,Nevada,West,9.0
2015,New Hampshire,Northeast,6.8
2015,New Jersey,Northeast,7.9
2015,New Mexico,West,10.5
2015,New York,Northeast,8.9
2015,North Carolina,South,9.6
2015,North Dakota,Midwest,8.1
2015,Ohio,Midwest,9.5
2015,Oklahoma,South,10.7
2015,Oregon,West,9.6
2015,Pennsylvania,Northeast,8.8
2015,Rhode Island,Northeast,7.9
2015,South Carolina,South,10.5
2015,South Dakota,Midwest,8.4
2015,Tennessee,South,11.4
2015,Texas,South,11.2
2015,Utah,West,7.5
2015,Vermont,Northeast,7.1
2015,Virginia,South,9.6
2015,Washington,West,7.7
2015,West Virginia,South,12.5
2015,Wisconsin,Midwest,7.4
2015,Wyoming,West,7.6
2016,Alabama,South,13.2
2016,Alaska,West,7.7
2016,Arizona,West,9.7
2016,Arkansas,South,12.1
2016,California,West,9.7
2016,Colorado,West,6.2
2016,Connecticut,Northeast,8.5
2016,Delaware,South,9.1
2016,District of Columbia,South,8.4
2016,Florida,South,9.8
2016,Georgia,South,11.4
2016,Hawaii,West,9.5
2016,Idaho,West,8.1
2016,Illinois,Midwest,9.5
2016,Indiana,Midwest,10.4
2016,Iowa,Midwest,8.1
2016,Kansas,Midwest,8.5
2016,Kentucky,South,11.8
2016,Louisiana,South,11.1
2016,Maine,Northeast,8.5
2016,Maryland,South,9.8
2016,Massachusetts,Northeast,8.3
2016,Michigan,Midwest,9.8
2016,Minnesota,Midwest,7.6
2016,Mississippi,South,12.4
2016,Missouri,Midwest,10.2
2016,Montana,West,6.9
2016,Nebraska,Midwest,8.0
2016,Nevada,West,10.1
2016,New Hampshire,Northeast,7.7
2016,New Jersey,Northeast,8.1
2016,New Mexico,West,10.4
2016,New York,Northeast,9.4
2016,North Carolina,South,10.1
2016,North Dakota,Midwest,8.2
2016,Ohio,Midwest,9.7
2016,Oklahoma,South,10.9
2016,Oregon,West,8.4
2016,Pennsylvania,Northeast,9.6
2016,Rhode Island,Northeast,8.6
2016,South Carolina,South,11.5
2016,South Dakota,Midwest,6.9
2016,Tennessee,South,11.2
2016,Texas,South,10.9
2016,Utah,West,7.7
2016,Vermont,Northeast,7.3
2016,Virginia,South,9.6
2016,Washington,West,8.6
2016,West Virginia,South,12.7
2016,Wisconsin,Midwest,8.6
2016,Wyoming,West,7.6
2017,Alabama,South,12.5
2017,Alaska,West,7.7
2017,Arizona,West,9.4
2017,Arkansas,South,10.8
2017,California,West,9.8
2017,Colorado,West,7.0
2017,Connecticut,Northeast,8.4
2017,Delaware,South,9.6
2017,District of Columbia,South,8.2
2017,Florida,South,8.6
2017,Georgia,South,10.6
2017,Hawaii,West,9.8
2017,Idaho,West,7.9
2017,Illinois,Midwest,10.1
2017,Indiana,Midwest,10.6
2017,Iowa,Midwest,8.3
2017,Kansas,Midwest,9.5
2017,Kentucky,South,11.3
2017,Louisiana,South,12.6
2017,Maine,Northeast,8.7
2017,Maryland,South,9.4
2017,Massachusetts,Northeast,8.4
2017,Michigan,Midwest,9.5
